geneID	genename chicken	CH1_RPKM	CH2_RPKM	LWC1_RPKM	LWC2_RPKM	TC1_RPKM	TC2_RPKM	WL_D1_RPKM	WL_D2_RPKM
ENSGALG00000006512	HSPA8	147.1829174	180.2198521	182.3518827	200.9766516	92.46855083	88.94463973	154.1332944	143.4553334
ENSGALG00000007527	ADARB1	4.042929164	7.250330409	4.765711601	7.127240997	7.784025905	5.224372579	5.761028996	5.646569897
ENSGALG00000010847	VEGFC	2.254713652	2.686165879	2.989691654	2.809140639	4.045526072	3.399605536	2.446542171	2.367941916
ENSGALG00000011351	HSP90AA1	171.4434126	229.6170152	216.8389289	191.8042718	87.20041015	63.23577038	149.1558538	137.376192
ENSGALG00000012429	BMP4	8.35547688	8.055254339	11.34727862	13.60673837	9.843148287	12.70832869	6.597139203	8.705600703
ENSGALG00000022985	PPAR	3.790624862	14.11502851	4.402446626	2.958198125	6.007557008	3.591693359	3.074927832	3.385810388
ENSGALG00000026152	GBP	18.76185653	15.28890084	0.900713784	0.895129095	2.646396831	4.42652776	10.64650263	9.171067663
ENSGALG00000000003	PANX2	0.388513052	0.297088869	0.679847061	0.67390826	0.562632355	0.30238752	0.989720522	0.342064883
ENSGALG00000000004	RFK	9.218219309	10.93082992	9.238769368	9.486216656	9.878235481	11.673394	10.7386017	11.81423035
ENSGALG00000000011	C10orf88	15.18991967	17.17742186	17.07832223	19.13540811	15.68710982	18.7476734	16.51779416	16.62058142
ENSGALG00000000013	DUSP11	5.252870736	6.551632625	6.687621608	6.646156395	7.133290446	6.827255963	7.773070562	7.318970059
ENSGALG00000000014	0	0.378990674	0.828020797	0.812062216	0.74313754	0.856729516	0.688277476	0.652707155	0.61174839
ENSGALG00000000017	0	16.11230787	17.92858988	16.53930658	16.78583967	13.49971812	16.62349745	17.18180409	17.65005061
ENSGALG00000000019	AAK1	20.21441506	16.38135644	18.06736923	26.00159651	15.63397503	17.12796936	18.88057431	21.30761351
ENSGALG00000000033	NFU1	104.863714	110.6914574	102.3650003	93.33437787	101.8533164	117.4530274	111.7429944	107.5218958
ENSGALG00000000038	0	1.277527926	3.907609527	2.311544541	0.96346897	3.188748307	1.822930396	2.200190336	2.374566688
ENSGALG00000000040	FAM195A	195.6696576	196.6694024	190.9257562	143.6814122	180.949972	239.1074021	208.4501531	200.5899656
ENSGALG00000000041	GNAI3	54.9228743	41.04724616	55.92762428	59.67519951	51.01487418	57.10350532	60.00905195	61.6582401
ENSGALG00000000043	USF1	57.29526863	31.85277716	40.23188237	32.86056205	44.23937039	42.98222608	40.42122166	44.97542381
ENSGALG00000000044	WFIKKN1	0.100494927	0.058549824	0.057421384	0.060631939	0.056793594	0.078217222	0	0.088480388
ENSGALG00000000048	0	3.454857011	2.720068317	4.935141391	3.042141635	3.878563516	2.713209762	2.197762739	2.630759873
ENSGALG00000000049	CSDC2	0.110308636	0.353470894	0.189086396	0.865187396	0.374038219	0.200329335	0.158313562	0.356109716
ENSGALG00000000054	OAT	31.83876593	41.99176934	39.1828047	52.67716741	34.62834287	37.06937458	39.67895769	39.86150423
